Model: ,Oscilloscope MSO6014A,
Serial Number:,MY50340123,
Address: ,GPIB0::7::INSTR,
Date: ,8/5/2016 13:38,
,,
Sample Number,Time (s),1 (VOLT)
251,-5.00E-06,-46
252,-4.98E-06,-29
253,-4.96E-06,0
254,-4.94E-06,16
255,-4.92E-06,13
256,-4.90E-06,6
257,-4.88E-06,-3
258,-4.86E-06,-14
259,-4.84E-06,-16
260,-4.82E-06,-16
261,-4.80E-06,-13
262,-4.78E-06,-5
263,-4.76E-06,12
264,-4.74E-06,33
265,-4.72E-06,67
266,-4.70E-06,97
267,-4.68E-06,110
268,-4.66E-06,87
269,-4.64E-06,52
270,-4.62E-06,24
271,-4.60E-06,6
272,-4.58E-06,-2
273,-4.56E-06,-19
274,-4.54E-06,-8
275,-4.52E-06,13
276,-4.50E-06,6
277,-4.48E-06,-3
278,-4.46E-06,0
279,-4.44E-06,4
280,-4.42E-06,11
281,-4.40E-06,21
282,-4.38E-06,41
283,-4.36E-06,50
284,-4.34E-06,46
285,-4.32E-06,29
286,-4.30E-06,6
287,-4.28E-06,4
288,-4.26E-06,24
289,-4.24E-06,31
290,-4.22E-06,10
291,-4.20E-06,-24
292,-4.18E-06,-56
293,-4.16E-06,-76
294,-4.14E-06,-76
295,-4.12E-06,-65
296,-4.10E-06,-78
297,-4.08E-06,-114
298,-4.06E-06,-102
299,-4.04E-06,-31
300,-4.02E-06,59
301,-4.00E-06,144
302,-3.98E-06,201
303,-3.96E-06,194
304,-3.94E-06,145
305,-3.92E-06,68
306,-3.90E-06,7
307,-3.88E-06,-34
308,-3.86E-06,-63
309,-3.84E-06,-78
310,-3.82E-06,-85
311,-3.80E-06,-83
312,-3.78E-06,-64
313,-3.76E-06,-56
314,-3.74E-06,-68
315,-3.72E-06,-97
316,-3.70E-06,-95
317,-3.68E-06,-55
318,-3.66E-06,-7
319,-3.64E-06,52
320,-3.62E-06,116
321,-3.60E-06,165
322,-3.58E-06,176
323,-3.56E-06,156
324,-3.54E-06,108
325,-3.52E-06,44
326,-3.50E-06,-16
327,-3.48E-06,-59
328,-3.46E-06,-95
329,-3.44E-06,-117
330,-3.42E-06,-103
331,-3.40E-06,-59
332,-3.38E-06,-10
333,-3.36E-06,28
334,-3.34E-06,30
335,-3.32E-06,4
336,-3.30E-06,-22
337,-3.28E-06,-30
338,-3.26E-06,-9
339,-3.24E-06,32
340,-3.22E-06,57
341,-3.20E-06,58
342,-3.18E-06,50
343,-3.16E-06,39
344,-3.14E-06,19
345,-3.12E-06,-1
346,-3.10E-06,-8
347,-3.08E-06,3
348,-3.06E-06,-1
349,-3.04E-06,-28
350,-3.02E-06,-61
351,-3.00E-06,-64
352,-2.98E-06,-59
353,-2.96E-06,-43
354,-2.94E-06,-17
355,-2.92E-06,17
356,-2.90E-06,48
357,-2.88E-06,71
358,-2.86E-06,89
359,-2.84E-06,96
360,-2.82E-06,90
361,-2.80E-06,77
362,-2.78E-06,78
363,-2.76E-06,87
364,-2.74E-06,84
365,-2.72E-06,60
366,-2.70E-06,31
367,-2.68E-06,18
368,-2.66E-06,8
369,-2.64E-06,-7
370,-2.62E-06,-19
371,-2.60E-06,-31
372,-2.58E-06,-47
373,-2.56E-06,-60
374,-2.54E-06,-73
375,-2.52E-06,-80
376,-2.50E-06,-70
377,-2.48E-06,-60
378,-2.46E-06,-56
379,-2.44E-06,-56
380,-2.42E-06,-40
381,-2.40E-06,-5
382,-2.38E-06,32
383,-2.36E-06,52
384,-2.34E-06,70
385,-2.32E-06,92
386,-2.30E-06,110
387,-2.28E-06,122
388,-2.26E-06,119
389,-2.24E-06,94
390,-2.22E-06,48
391,-2.20E-06,-12
392,-2.18E-06,-67
393,-2.16E-06,-84
394,-2.14E-06,-90
395,-2.12E-06,-107
396,-2.10E-06,-130
397,-2.08E-06,-134
398,-2.06E-06,-110
399,-2.04E-06,-70
400,-2.02E-06,-17
401,-2.00E-06,47
402,-1.98E-06,131
403,-1.96E-06,187
404,-1.94E-06,197
405,-1.92E-06,189
406,-1.90E-06,176
407,-1.88E-06,159
408,-1.86E-06,140
409,-1.84E-06,101
410,-1.82E-06,44
411,-1.80E-06,-9
412,-1.78E-06,-54
413,-1.76E-06,-88
414,-1.74E-06,-94
415,-1.72E-06,-80
416,-1.70E-06,-74
417,-1.68E-06,-88
418,-1.66E-06,-94
419,-1.64E-06,-73
420,-1.62E-06,-30
421,-1.60E-06,6
422,-1.58E-06,28
423,-1.56E-06,44
424,-1.54E-06,47
425,-1.52E-06,57
426,-1.50E-06,87
427,-1.48E-06,129
428,-1.46E-06,156
429,-1.44E-06,160
430,-1.42E-06,143
431,-1.40E-06,99
432,-1.38E-06,43
433,-1.36E-06,-3
434,-1.34E-06,-46
435,-1.32E-06,-82
436,-1.30E-06,-117
437,-1.28E-06,-146
438,-1.26E-06,-160
439,-1.24E-06,-155
440,-1.22E-06,-137
441,-1.20E-06,-108
442,-1.18E-06,-67
443,-1.16E-06,-27
444,-1.14E-06,9
445,-1.12E-06,48
446,-1.10E-06,87
447,-1.08E-06,120
448,-1.06E-06,138
449,-1.04E-06,133
450,-1.02E-06,113
451,-1.00E-06,96
452,-9.80E-07,90
453,-9.60E-07,74
454,-9.40E-07,28
455,-9.20E-07,-34
456,-9.00E-07,-91
457,-8.80E-07,-115
458,-8.60E-07,-105
459,-8.40E-07,-91
460,-8.20E-07,-86
461,-8.00E-07,-68
462,-7.80E-07,-42
463,-7.60E-07,-12
464,-7.40E-07,23
465,-7.20E-07,52
466,-7.00E-07,62
467,-6.80E-07,65
468,-6.60E-07,71
469,-6.40E-07,86
470,-6.20E-07,93
471,-6.00E-07,77
472,-5.80E-07,55
473,-5.60E-07,42
474,-5.40E-07,30
475,-5.20E-07,10
476,-5.00E-07,-8
477,-4.80E-07,-24
478,-4.60E-07,-45
479,-4.40E-07,-72
480,-4.20E-07,-91
481,-4.00E-07,-96
482,-3.80E-07,-92
483,-3.60E-07,-73
484,-3.40E-07,-38
485,-3.20E-07,8
486,-3.00E-07,58
487,-2.80E-07,83
488,-2.60E-07,83
489,-2.40E-07,83
490,-2.20E-07,93
491,-2.00E-07,85
492,-1.80E-07,64
493,-1.60E-07,48
494,-1.40E-07,33
495,-1.20E-07,12
496,-1.00E-07,-8
497,-8.00E-08,-27
498,-6.00E-08,-37
499,-4.00E-08,-52
500,-2.00E-08,-60
501,0,-64
502,2.00E-08,-61
503,4.00E-08,-56
504,6.00E-08,-56
505,8.00E-08,-56
506,1.00E-07,-42
507,1.20E-07,-10
508,1.40E-07,40
509,1.60E-07,114
510,1.80E-07,205
511,2.00E-07,290
512,2.20E-07,347
513,2.40E-07,349
514,2.60E-07,279
515,2.80E-07,184
516,3.00E-07,55
517,3.20E-07,-124
518,3.40E-07,-287
519,3.60E-07,-431
520,3.80E-07,-583
521,4.00E-07,-713
522,4.20E-07,-767
523,4.40E-07,-708
524,4.60E-07,-541
525,4.80E-07,-290
526,5.00E-07,59
527,5.20E-07,440
528,5.40E-07,805
529,5.60E-07,1092
530,5.80E-07,1274
531,6.00E-07,1332
532,6.20E-07,1255
533,6.40E-07,1014
534,6.60E-07,618
535,6.80E-07,110
536,7.00E-07,-441
537,7.20E-07,-972
538,7.40E-07,-1403
539,7.60E-07,-1688
540,7.80E-07,-1794
541,8.00E-07,-1721
542,8.20E-07,-1469
543,8.40E-07,-1054
544,8.60E-07,-506
545,8.80E-07,128
546,9.00E-07,744
547,9.20E-07,1300
548,9.40E-07,1759
549,9.60E-07,2048
550,9.80E-07,2101
551,1.00E-06,1938
552,1.02E-06,1599
553,1.04E-06,1098
554,1.06E-06,461
555,1.08E-06,-244
556,1.10E-06,-915
557,1.12E-06,-1472
558,1.14E-06,-1856
559,1.16E-06,-2030
560,1.18E-06,-1993
561,1.20E-06,-1760
562,1.22E-06,-1372
563,1.24E-06,-820
564,1.26E-06,-151
565,1.28E-06,481
566,1.30E-06,989
567,1.32E-06,1333
568,1.34E-06,1514
569,1.36E-06,1535
570,1.38E-06,1425
571,1.40E-06,1203
572,1.42E-06,853
573,1.44E-06,437
574,1.46E-06,-3
575,1.48E-06,-407
576,1.50E-06,-718
577,1.52E-06,-884
578,1.54E-06,-912
579,1.56E-06,-813
580,1.58E-06,-604
581,1.60E-06,-337
582,1.62E-06,-96
583,1.64E-06,90
584,1.66E-06,246
585,1.68E-06,327
586,1.70E-06,253
587,1.72E-06,83
588,1.74E-06,-163
589,1.76E-06,-392
590,1.78E-06,-554
591,1.80E-06,-594
592,1.82E-06,-499
593,1.84E-06,-283
594,1.86E-06,1
595,1.88E-06,322
596,1.90E-06,625
597,1.92E-06,877
598,1.94E-06,1044
599,1.96E-06,1101
600,1.98E-06,1027
601,2.00E-06,829
602,2.02E-06,525
603,2.04E-06,135
604,2.06E-06,-323
605,2.08E-06,-776
606,2.10E-06,-1143
607,2.12E-06,-1378
608,2.14E-06,-1452
609,2.16E-06,-1342
610,2.18E-06,-1051
611,2.20E-06,-617
612,2.22E-06,-97
613,2.24E-06,431
614,2.26E-06,895
615,2.28E-06,1234
616,2.30E-06,1422
617,2.32E-06,1429
618,2.34E-06,1269
619,2.36E-06,963
620,2.38E-06,550
621,2.40E-06,87
622,2.42E-06,-365
623,2.44E-06,-735
624,2.46E-06,-984
625,2.48E-06,-1089
626,2.50E-06,-1049
627,2.52E-06,-868
628,2.54E-06,-556
629,2.56E-06,-175
630,2.58E-06,236
631,2.60E-06,591
632,2.62E-06,830
633,2.64E-06,912
634,2.66E-06,847
635,2.68E-06,672
636,2.70E-06,390
637,2.72E-06,50
638,2.74E-06,-302
639,2.76E-06,-626
640,2.78E-06,-894
641,2.80E-06,-1037
642,2.82E-06,-1009
643,2.84E-06,-820
644,2.86E-06,-505
645,2.88E-06,-110
646,2.90E-06,331
647,2.92E-06,749
648,2.94E-06,1066
649,2.96E-06,1252
650,2.98E-06,1287
651,3.00E-06,1149
652,3.02E-06,851
653,3.04E-06,441
654,3.06E-06,-47
655,3.08E-06,-531
656,3.10E-06,-956
657,3.12E-06,-1271
658,3.14E-06,-1455
659,3.16E-06,-1489
660,3.18E-06,-1349
661,3.20E-06,-1033
662,3.22E-06,-561
663,3.24E-06,-3
664,3.26E-06,540
665,3.28E-06,1024
666,3.30E-06,1397
667,3.32E-06,1605
668,3.34E-06,1635
669,3.36E-06,1486
670,3.38E-06,1181
671,3.40E-06,760
672,3.42E-06,253
673,3.44E-06,-294
674,3.46E-06,-800
675,3.48E-06,-1200
676,3.50E-06,-1439
677,3.52E-06,-1492
678,3.54E-06,-1378
679,3.56E-06,-1140
680,3.58E-06,-814
681,3.60E-06,-431
682,3.62E-06,4
683,3.64E-06,422
684,3.66E-06,769
685,3.68E-06,1029
686,3.70E-06,1192
687,3.72E-06,1214
688,3.74E-06,1122
689,3.76E-06,956
690,3.78E-06,724
691,3.80E-06,421
692,3.82E-06,93
693,3.84E-06,-235
694,3.86E-06,-515
695,3.88E-06,-711
696,3.90E-06,-835
697,3.92E-06,-892
698,3.94E-06,-865
699,3.96E-06,-752
700,3.98E-06,-567
701,4.00E-06,-342
702,4.02E-06,-140
703,4.04E-06,49
704,4.06E-06,200
705,4.08E-06,312
706,4.10E-06,382
707,4.12E-06,407
708,4.14E-06,388
709,4.16E-06,326
710,4.18E-06,267
711,4.20E-06,229
712,4.22E-06,191
713,4.24E-06,141
714,4.26E-06,96
715,4.28E-06,67
716,4.30E-06,56
717,4.32E-06,62
718,4.34E-06,63
719,4.36E-06,38
720,4.38E-06,-21
721,4.40E-06,-125
722,4.42E-06,-260
723,4.44E-06,-401
724,4.46E-06,-535
725,4.48E-06,-621
726,4.50E-06,-642
727,4.52E-06,-586
728,4.54E-06,-472
729,4.56E-06,-301
730,4.58E-06,-85
731,4.60E-06,207
732,4.62E-06,507
733,4.64E-06,781
