Time,MeasSampleRate,ValidSamples B1CW,ValidSamples D-RT,ValidSamples D-LT,ValidSamples A1,ValidSamples A2,ValidSamples D-RB,ValidSamples D-LB,ValidSamples B1CCW,MeasAGCLevel B1CW_A,MeasAGCLevel B1CW_B,MeasAGCLevel D-RT_A,MeasAGCLevel D-RT_B,MeasAGCLevel D-LT_A,MeasAGCLevel D-LT_B,MeasAGCLevel A1_A,MeasAGCLevel A1_B,MeasAGCLevel A2_A,MeasAGCLevel A2_B,MeasAGCLevel D-RB_A,MeasAGCLevel D-RB_B,MeasAGCLevel D-LB_A,MeasAGCLevel D-LB_B,MeasAGCLevel B1CCW_A,MeasAGCLevel B1CCW_B,SNR B1CW_A,SNR B1CW_B,SNR D-RT_A,SNR D-RT_B,SNR D-LT_A,SNR D-LT_B,SNR A1_A,SNR A1_B,SNR A2_A,SNR A2_B,SNR D-RB_A,SNR D-RB_B,SNR D-LB_A,SNR D-LB_B,SNR B1CCW_A,SNR B1CCW_B,MeasVOS[m/s],MeasVLine[m/s],MeasPressure[bar-a],MeasTemperature[°C],MeasQLine[m³/hr],MeasQBase,MeasStability,MeasPathVOS B1CW[m/s],MeasPathVOS D-RT[m/s],MeasPathVOS D-LT[m/s],MeasPathVOS A1[m/s],MeasPathVOS A2[m/s],MeasPathVOS D-RB[m/s],MeasPathVOS D-LB[m/s],MeasPathVOS B1CCW[m/s],MeasPathVOG B1CW[m/s],MeasPathVOG D-RT[m/s],MeasPathVOG D-LT[m/s],MeasPathVOG A1[m/s],MeasPathVOG A2[m/s],MeasPathVOG D-RB[m/s],MeasPathVOG D-LB[m/s],MeasPathVOG B1CCW[m/s],METERTYPE_T,DataSequence,FwdVolume[m³],RevVolume[m³],TSpare,MeasDiagBits B1CW,MeasDiagBits D-RT,MeasDiagBits D-LT,MeasDiagBits A1,MeasDiagBits A2,MeasDiagBits D-RB,MeasDiagBits D-LB,MeasDiagBits B1CCW,MeasPathPerformance B1CW[%],MeasPathPerformance D-RT[%],MeasPathPerformance D-LT[%],MeasPathPerformance A1[%],MeasPathPerformance A2[%],MeasPathPerformance D-RB[%],MeasPathPerformance D-LB[%],MeasPathPerformance B1CCW[%],VOGRatio B1CW,VOGRatio D-RT,VOGRatio D-LT,VOGRatio A1,VOGRatio A2,VOGRatio D-RB,VOGRatio D-LB,VOGRatio B1CCW,VOSRatio B1CW,VOSRatio D-RT,VOSRatio D-LT,VOSRatio A1,VOSRatio A2,VOSRatio D-RB,VOSRatio D-LB,VOSRatio B1CCW,OperationalStatus,Swirl Angle[°],Internal Temp[°C],TransitTimeStDAB_1[s],TransitTimeStDAB_2[s],TransitTimeStDAB_3[s],TransitTimeStDAB_4[s],TransitTimeStDAB_5[s],TransitTimeStDAB_6[s],TransitTimeStDAB_7[s],TransitTimeStDAB_8[s],TransitTimeStDBA_1[s],TransitTimeStDBA_2[s],TransitTimeStDBA_3[s],TransitTimeStDBA_4[s],TransitTimeStDBA_5[s],TransitTimeStDBA_6[s],TransitTimeStDBA_7[s],TransitTimeStDBA_8[s],DSPSampleRate_1[s],DSPSampleRate_2[s],DSPSampleRate_3[s],DSPSampleRate_4[s],DSPSampleRate_5[s],DSPSampleRate_6[s],DSPSampleRate_7[s],DSPSampleRate_8[s],TTimeAB_1[s],TTimeAB_2[s],TTimeAB_3[s],TTimeAB_4[s],TTimeAB_5[s],TTimeAB_6[s],TTimeAB_7[s],TTimeAB_8[s],TTimeBA_1[s],TTimeBA_2[s],TTimeBA_3[s],TTimeBA_4[s],TTimeBA_5[s],TTimeBA_6[s],TTimeBA_7[s],TTimeBA_8[s],Density[kg/m²],Viscosity[Pa s]
6/20/2019 11:51:30 AM,50.000000,15.000000,15.000000,15.000000,15.000000,14.000000,14.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.710000,21.060000,26.290000,27.500000,25.740000,26.430000,28.830000,26.430000,25.480000,23.410000,24.490000,23.410000,20.610000,21.010000,18.200000,19.170000,349.329773,0.004157,4.118986,20.000000,0.424309,0.000000,0.000000,352.252502,348.004761,347.714478,349.513824,349.518005,347.372375,347.852600,352.410034,0.011157,0.013270,-0.003062,-0.000902,0.010421,0.007383,0.000071,-0.001538,68.000000,5886.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,93.333336,100.000000,100.000000,100.000000,3.045512,3.947742,-0.537756,-0.167485,2.765480,1.756779,0.013573,-0.280770,1.009573,0.995668,0.994719,1.000602,1.000616,0.993601,0.995170,1.010090,16.000000,0.000000,-125.654937,4.000000,0.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,4.000000,0.000000,1.000000,1.000000,4.000000,2.000000,3.000000,3.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,14.000000,15.000000,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,55.000000,0.000013
6/20/2019 11:51:31 AM,50.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,15.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,21.300000,21.050000,26.350000,26.950000,26.000000,25.980000,28.680000,27.580000,24.920000,23.500000,24.390000,24.450000,20.230000,20.630000,19.800000,20.070000,349.327911,0.005454,4.118986,20.000000,0.556706,0.000000,0.000000,352.246277,348.002869,347.716949,349.515503,349.514832,347.369568,347.848175,352.409180,-0.001570,0.015929,-0.005555,-0.000190,0.016308,0.013175,-0.001044,0.002061,68.000000,5887.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-0.270205,4.809182,-0.870502,-0.033823,5.005863,3.555500,-0.182068,0.389404,1.009559,0.995667,0.994733,1.000614,1.000612,0.993598,0.995162,1.010093,16.000000,0.000000,-125.654937,4.000000,1.000000,1.000000,1.000000,3.000000,2.000000,1.000000,3.000000,4.000000,0.000000,1.000000,1.000000,3.000000,2.000000,4.000000,5.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,15.000000,14.000000,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,55.000000,0.000013
6/20/2019 11:51:32 AM,50.000000,15.000000,15.000000,15.000000,15.000000,14.000000,14.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.290000,21.200000,27.010000,27.350000,26.230000,25.180000,27.960000,25.960000,24.750000,22.550000,22.900000,24.150000,20.610000,21.470000,18.350000,19.050000,349.330383,0.004263,4.118986,20.000000,0.435075,0.000000,0.000000,352.251526,348.003845,347.713013,349.519501,349.520660,347.369324,347.854004,352.411194,0.003762,0.013578,-0.007715,0.002896,0.010492,0.009567,0.000000,-0.000752,68.000000,5888.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.938403,5.208138,-1.365713,0.700691,3.442379,3.008114,0.000000,-0.161672,1.009568,0.995663,0.994712,1.000619,1.000623,0.993589,0.995173,1.010092,16.000000,0.000000,-125.654937,5.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,4.000000,4.000000,0.000000,1.000000,1.000000,3.000000,3.000000,2.000000,4.000000,15.000000,15.000000,15.000000,15.000000,14.000000,14.000000,14.000000,15.000000,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,55.000000,0.000013
6/20/2019 11:51:33 AM,50.000000,14.000000,14.000000,14.000000,14.000000,15.000000,15.000000,15.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,21.000000,20.400000,26.420000,26.950000,26.090000,26.810000,28.080000,26.230000,24.130000,22.170000,24.140000,24.900000,20.240000,19.450000,19.170000,19.780000,349.328552,0.005783,4.118986,20.000000,0.590265,0.000000,0.000000,352.253113,348.002869,347.716187,349.515442,349.510986,347.367859,347.850647,352.411438,0.005824,0.014077,-0.006979,-0.000712,0.017946,0.014077,-0.002421,0.001407,68.000000,5889.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,1.090150,3.381426,-0.973239,-0.113477,4.970934,3.381426,-0.371374,0.235531,1.009579,0.995665,0.994729,1.000611,1.000597,0.993591,0.995168,1.010099,16.000000,0.000000,-125.654937,3.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,3.000000,4.000000,0.000000,1.000000,0.000000,2.000000,1.000000,2.000000,4.000000,14.000000,14.000000,14.000000,14.000000,15.000000,15.000000,15.000000,14.000000,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,55.000000,0.000013
6/20/2019 11:51:34 AM,50.000000,15.000000,15.000000,15.000000,14.000000,14.000000,14.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.630000,20.750000,27.010000,27.210000,25.850000,27.300000,28.170000,26.490000,24.480000,22.690000,23.760000,22.820000,20.030000,20.570000,19.530000,18.190000,349.329529,0.004128,4.118986,20.000000,0.421297,0.000000,0.000000,352.249725,348.003510,347.716797,349.515442,349.516815,347.371582,347.849365,352.413208,0.007918,0.017234,-0.005840,-0.001970,0.011347,0.010872,0.002303,-0.007329,68.000000,5890.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,2.082198,6.973029,-1.012460,-0.377811,3.425443,3.216266,0.500071,-1.225418,1.009565,0.995664,0.994727,1.000608,1.000613,0.993600,0.995160,1.010101,16.000000,0.000000,-125.654937,4.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,4.000000,4.000000,0.000000,1.000000,1.000000,4.000000,1.000000,3.000000,6.000000,15.000000,15.000000,15.000000,14.000000,14.000000,14.000000,14.000000,15.000000,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,55.000000,0.000013
6/20/2019 11:51:35 AM,50.000000,14.000000,14.000000,14.000000,15.000000,15.000000,15.000000,15.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.370000,19.980000,26.720000,27.600000,25.480000,26.880000,27.910000,25.820000,24.890000,21.840000,23.920000,23.460000,20.610000,21.590000,19.030000,18.000000,349.329468,0.003954,4.118986,20.000000,0.403544,0.000000,0.000000,352.247742,348.004456,347.716675,349.517700,349.520996,347.365601,347.850037,352.412537,0.001865,0.016403,0.004178,0.000617,0.007145,0.009970,-0.003869,-0.001930,68.000000,5891.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.401489,6.387641,0.968368,0.127967,1.836576,2.859245,-0.708149,-0.372139,1.009559,0.995667,0.994727,1.000616,1.000627,0.993580,0.995163,1.010099,16.000000,0.000000,-125.654937,3.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,3.000000,4.000000,0.000000,1.000000,1.000000,5.000000,1.000000,2.000000,6.000000,14.000000,14.000000,14.000000,15.000000,15.000000,15.000000,15.000000,14.000000,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,55.000000,0.000013
6/20/2019 11:51:36 AM,50.000000,15.000000,15.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,19.720000,20.980000,26.360000,27.300000,25.790000,25.850000,28.660000,26.370000,25.010000,22.940000,23.310000,23.580000,20.490000,20.420000,19.230000,19.000000,349.328766,0.005938,4.118986,20.000000,0.606094,0.000000,0.000000,352.250824,348.003326,347.714172,349.514404,349.511566,347.370056,347.853577,352.412292,0.009095,0.013816,-0.001923,0.003110,0.012486,0.017614,-0.004771,-0.005071,68.000000,5892.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,1.805628,3.166676,-0.290840,0.527763,2.742599,4.610650,-0.679867,-0.718190,1.009571,0.995666,0.994721,1.000607,1.000598,0.993597,0.995177,1.010101,16.000000,0.000000,-125.654937,5.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,4.000000,4.000000,0.000000,2.000000,1.000000,2.000000,3.000000,2.000000,5.000000,15.000000,15.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,55.000000,0.000013
6/20/2019 11:51:37 AM,50.000000,14.000000,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,21.070000,20.990000,26.850000,27.640000,26.410000,26.790000,28.890000,26.730000,23.660000,22.640000,24.470000,23.000000,20.940000,20.620000,20.350000,18.850000,349.328979,0.005634,4.118986,20.000000,0.575016,0.000000,0.000000,352.250977,348.003143,347.713318,349.515411,349.516571,347.370667,347.849762,352.411926,0.007852,0.013768,-0.007454,-0.001424,0.018848,0.007881,-0.002136,0.003664,68.000000,5893.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,1.658184,3.539247,-1.076851,-0.235013,5.956255,1.665787,-0.346699,0.687022,1.009571,0.995665,0.994718,1.000610,1.000614,0.993598,0.995164,1.010099,16.000000,0.000000,-125.654937,4.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,4.000000,5.000000,0.000000,2.000000,0.000000,2.000000,2.000000,2.000000,4.000000,14.000000,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,55.000000,0.000013
6/20/2019 11:51:38 AM,50.000000,15.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.570000,22.360000,26.830000,27.620000,26.920000,26.490000,28.930000,26.960000,22.870000,23.450000,24.110000,22.550000,21.220000,20.580000,18.480000,18.570000,349.328308,0.005657,4.118649,20.000000,0.577413,0.000000,0.000000,352.246643,348.002319,347.715881,349.517090,349.512024,347.368713,347.852295,352.411682,0.006740,0.013270,-0.004297,0.001021,0.020391,0.010350,-0.004724,-0.005137,68.000000,5894.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,1.528048,3.815577,-0.717630,0.195260,8.287700,2.657303,-0.781034,-0.841058,1.009559,0.995664,0.994728,1.000618,1.000601,0.993594,0.995174,1.010100,16.000000,0.000000,-125.654937,4.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,5.000000,5.000000,0.000000,2.000000,1.000000,4.000000,2.000000,4.000000,5.000000,15.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,55.000000,0.000013
6/20/2019 11:51:39 AM,50.000000,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.620000,21.000000,26.870000,27.330000,26.040000,27.360000,27.700000,26.370000,26.590000,22.390000,23.650000,23.760000,20.210000,20.440000,19.390000,19.790000,349.329071,0.001704,4.118649,20.000000,0.173926,0.000000,0.000000,352.251343,348.002869,347.711243,349.513214,349.517517,347.372375,347.849304,352.414764,0.005758,0.016095,-0.006053,-0.000902,0.005579,0.012676,-0.005009,-0.011844,68.000000,5895.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,3.823576,548.699585,-1.895610,-0.367074,3.642204,24.487453,-1.645408,-2.945787,1.009572,0.995664,0.994711,1.000602,1.000617,0.993604,0.995162,1.010108,16.000000,0.000000,-125.654937,3.000000,0.000000,1.000000,1.000000,3.000000,0.000000,2.000000,4.000000,4.000000,1.000000,1.000000,1.000000,2.000000,1.000000,3.000000,5.000000,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,0.001584,0.000504,0.000504,0.000710,0.000710,0.000505,0.000504,0.001584,55.000000,0.000013
