Time,MeasSampleRate,ValidSamples D-RT,ValidSamples D-LT,ValidSamples A1,ValidSamples A2,ValidSamples D-RB,ValidSamples D-LB,ValidSamples_6,ValidSamples B1CW,MeasAGCLevel D-RT_A,MeasAGCLevel D-RT_B,MeasAGCLevel D-LT_A,MeasAGCLevel D-LT_B,MeasAGCLevel A1_A,MeasAGCLevel A1_B,MeasAGCLevel A2_A,MeasAGCLevel A2_B,MeasAGCLevel D-RB_A,MeasAGCLevel D-RB_B,MeasAGCLevel D-LB_A,MeasAGCLevel D-LB_B,MeasAGCLevel_6_A,MeasAGCLevel_6_B,MeasAGCLevel B1CW_A,MeasAGCLevel B1CW_B,SNR D-RT_A,SNR D-RT_B,SNR D-LT_A,SNR D-LT_B,SNR A1_A,SNR A1_B,SNR A2_A,SNR A2_B,SNR D-RB_A,SNR D-RB_B,SNR D-LB_A,SNR D-LB_B,SNR_6_A,SNR_6_B,SNR B1CW_A,SNR B1CW_B,MeasVOS[m/s],MeasVLine[m/s],MeasPressure[bar-a],MeasTemperature[°C],MeasQLine[m³/hr],MeasQBase,MeasStability,MeasPathVOS D-RT[m/s],MeasPathVOS D-LT[m/s],MeasPathVOS A1[m/s],MeasPathVOS A2[m/s],MeasPathVOS D-RB[m/s],MeasPathVOS D-LB[m/s],MeasPathVOS_6[m/s],MeasPathVOS B1CW[m/s],MeasPathVOG D-RT[m/s],MeasPathVOG D-LT[m/s],MeasPathVOG A1[m/s],MeasPathVOG A2[m/s],MeasPathVOG D-RB[m/s],MeasPathVOG D-LB[m/s],MeasPathVOG_6[m/s],MeasPathVOG B1CW[m/s],METERTYPE_T,DataSequence,FwdVolume[m³],RevVolume[m³],TSpare,MeasDiagBits D-RT,MeasDiagBits D-LT,MeasDiagBits A1,MeasDiagBits A2,MeasDiagBits D-RB,MeasDiagBits D-LB,MeasDiagBits_6,MeasDiagBits B1CW,MeasPathPerformance D-RT[%],MeasPathPerformance D-LT[%],MeasPathPerformance A1[%],MeasPathPerformance A2[%],MeasPathPerformance D-RB[%],MeasPathPerformance D-LB[%],VOGRatio D-RT,VOGRatio D-LT,VOGRatio A1,VOGRatio A2,VOGRatio D-RB,VOGRatio D-LB,VOSRatio D-RT,VOSRatio D-LT,VOSRatio A1,VOSRatio A2,VOSRatio D-RB,VOSRatio D-LB,OperationalStatus,Swirl Angle[°],Internal Temp[°C],TransitTimeStDAB_1[s],TransitTimeStDAB_2[s],TransitTimeStDAB_3[s],TransitTimeStDAB_4[s],TransitTimeStDAB_5[s],TransitTimeStDAB_6[s],TransitTimeStDAB_7[s],TransitTimeStDAB_8[s],TransitTimeStDBA_1[s],TransitTimeStDBA_2[s],TransitTimeStDBA_3[s],TransitTimeStDBA_4[s],TransitTimeStDBA_5[s],TransitTimeStDBA_6[s],TransitTimeStDBA_7[s],TransitTimeStDBA_8[s],DSPSampleRate_1[s],DSPSampleRate_2[s],DSPSampleRate_3[s],DSPSampleRate_4[s],DSPSampleRate_5[s],DSPSampleRate_6[s],DSPSampleRate_7[s],DSPSampleRate_8[s],TTimeAB_1[s],TTimeAB_2[s],TTimeAB_3[s],TTimeAB_4[s],TTimeAB_5[s],TTimeAB_6[s],TTimeAB_7[s],TTimeAB_8[s],TTimeBA_1[s],TTimeBA_2[s],TTimeBA_3[s],TTimeBA_4[s],TTimeBA_5[s],TTimeBA_6[s],TTimeBA_7[s],TTimeBA_8[s],Density[kg/m²],Viscosity[Pa s]
7/9/2019 10:23,50,2,2,1,2,2,2,1,0,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,11.05,14.49,14.19,15.35,14.59,13.75,16.29,13.72,16.1,18.42,12.94,14.87,7.65,8.62,9.59,7.21,376.57959,23.372845,50.23404,3.649981,2385.674316,0,0,376.637634,376.53595,376.403595,376.41391,376.719147,376.767395,373.553497,375.749146,21.189402,21.275406,24.039797,23.968035,21.686958,21.424269,17.950857,24.878593,74,2859,7723,3,0,0,0,4,0,0,0,196,2116,66.666672,100,50,100,100,100,0.942635,0.947186,1.097266,1.093274,0.96906,0.95508,1.000185,0.999861,0.999439,0.999472,1.000445,1.000598,16,-0.737324,27.309388,25,8,0,25,8,28,0,0,22,27,0,19,33,47,0,0,3,2,2,2,2,2,3,3,0.00045,0.00045,0.00064,0.000634,0.00045,0.000449,0,0,0.000484,0.000484,0.000688,0.000688,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,2,2,2,2,3,2,0,0,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,13.81,18.81,13.36,17.4,13.87,13.77,12.52,12.18,17.63,18.26,14.06,17.4,7.12,8.78,9.45,13.17,376.373169,22.994778,50.23404,3.649981,2347.084961,0,0,376.391174,376.595062,375.503845,376.409332,376.691376,376.648315,373.553497,375.749146,21.110922,21.542393,22.61454,23.831587,21.620064,21.377813,17.950857,24.878593,74,2860,7723,3,0,0,4,4,4,0,0,2068,2132,100,66.666672,66.666672,66.666672,100,66.666672,0.951059,0.974285,1.03279,1.100606,0.978485,0.965404,1.000057,1.000708,0.99723,1.000115,1.001015,1.000877,16,-0.733127,27.311688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,2,2,0.00045,0.00045,0.000634,0.000634,0.000449,0.00045,0.001463,0,0.000484,0.000484,0.000688,0.000688,0.000484,0.000484,0.00153,0,55,0.000013
7/9/2019 10:23,50,3,2,2,2,3,2,0,0,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,18.47,16.67,14.55,15.71,13.89,14.71,12,17.21,15.47,15.64,14.04,18.33,7.12,7.24,12.3,13.17,376.442719,22.961601,50.23404,3.649981,2343.698486,0,0,376.646149,376.500763,376.409088,375.670135,376.733704,376.69635,373.553497,375.749146,21.497194,21.586308,23.661335,22.509426,21.429018,21.401552,17.950857,24.878593,74,2861,7724,3,0,0,0,4,4,0,0,2068,2132,100,66.666672,66.666672,66.666672,100,66.666672,0.971953,0.976769,1.091153,1.02712,0.968273,0.966792,1.000648,1.000185,0.999893,0.997538,1.000928,1.000809,16,-0.729178,27.316476,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,3,3,3,3,3,3,3,3,0.00045,0.00045,0.000637,0.000634,0.00045,0.00045,0,0,0.000484,0.000484,0.000688,0.000688,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,2,3,2,2,2,2,0,0,31.2,35.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,14.32,13.24,10.24,18.39,9.69,18.52,12.73,13.01,18.59,15.33,14.71,19.08,8.39,11.51,11.06,7.25,376.274872,22.874958,50.23404,3.649981,2334.854736,0,0,376.680023,376.435699,375.56308,375.459534,376.745941,376.764709,373.553497,375.749146,21.645536,21.570379,22.745195,22.852518,21.449432,21.664574,17.950857,24.878593,74,2862,7724,3,0,0,0,0,0,0,0,2257,2133,66.666672,100,100,100,100,100,0.981371,0.977298,1.041614,1.047559,0.970754,0.982404,1.001292,1.000513,0.997731,0.997401,1.001503,1.001563,16,-0.72541,27.316728,11,0,0,0,28,0,0,0,33,0,0,0,13,0,0,0,3,3,2,2,2,2,3,3,0.00045,0.00045,0.000634,0.000636,0.00045,0.00045,0,0,0.000484,0.000484,0.000687,0.000687,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,2,2,2,3,2,2,0,0,31.2,36.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,14.61,16.64,12.44,19.82,9.07,16.54,11.02,12.47,16.73,16.06,14,16.93,5.59,10.63,7.71,8.2,376.122284,22.938824,50.23404,3.649981,2341.373535,0,0,376.518005,374.063477,376.513885,376.428436,376.522858,376.687073,373.553497,375.749146,21.422464,17.825827,23.929556,23.996046,21.728643,21.51552,17.950857,24.878593,74,2863,7725,3,0,0,0,4,0,0,0,2121,2116,100,100,66.666672,100,66.666672,66.666672,0.982722,0.79161,1.123575,1.127401,0.999575,0.987834,1.001263,0.993439,1.00125,1.000977,1.001278,1.001802,16,-0.721782,27.316728,0,21,0,0,0,0,0,0,0,35,0,0,0,0,0,0,2,2,3,3,3,3,2,2,0.00045,0.00045,0.000636,0.000636,0.00045,0.000449,0,0,0.000484,0.000484,0.000688,0.000688,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,3,2,3,3,3,2,0,0,31.2,36.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,15.37,15.13,15.88,17.49,11.65,12.85,10.33,13.04,14.05,16.3,15.67,19.41,4.18,7.21,10.73,3.89,376.327484,23.127205,50.23404,3.649981,2360.601807,0,0,376.572723,376.605103,376.409973,376.418182,376.645447,375.313263,373.553497,375.749146,21.278301,21.320009,23.776014,24.135202,21.756252,19.569084,17.950857,24.878593,74,2864,7726,3,0,0,0,0,0,0,0,2117,2132,100,66.666672,100,100,100,100,0.962326,0.964577,1.100142,1.120486,0.988214,0.871552,1.000782,1.000885,1.000263,1.000289,1.001014,0.996768,16,-0.718234,27.318555,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,3,3,2,3,3,0.00045,0.000455,0.000633,0.000634,0.00045,0.00045,0,0,0.000484,0.000484,0.000688,0.000688,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,1,2,1,2,2,3,1,0,31.2,35.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,10.54,17.02,12.79,17.08,6,15.59,11.6,19.3,15.27,17.1,18.77,17.54,7.45,9.33,0,0,375.902985,22.619942,50.23404,3.649981,2308.825195,0,0,374.13681,376.319427,376.308411,375.503815,376.610474,376.538971,375.763733,375.749146,17.615646,21.736952,24.096674,22.783415,21.370455,21.329268,24.900873,24.878593,74,2865,7726,3,0,4,0,4,0,0,0,20,2133,50,100,50,100,100,100,0.79124,1.013893,1.149259,1.073181,0.993402,0.991108,0.994367,1.00133,1.001294,0.998726,1.002259,1.002031,16,-0.715214,27.318208,29,0,37,26,27,0,0,0,10,0,47,35,24,0,0,0,2,2,2,2,2,3,3,3,0.00045,0.00045,0.000634,0.000633,0.000449,0.000453,0,0,0.000484,0.000484,0.000688,0.000688,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,3,3,2,3,3,2,0,0,31.2,35.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,12.86,13.23,16.51,16.16,10.92,15.15,12.09,12.46,14.77,18.38,15.37,18.26,6.72,10.36,3.83,4.32,376.521973,23.509438,50.23404,3.649981,2399.616455,0,0,376.667755,376.48642,376.348145,376.396851,376.66684,376.565704,375.763733,375.749146,21.53857,21.875277,24.034954,24.073671,21.416199,21.577572,24.900873,24.878593,74,2866,7727,3,0,0,0,4,0,0,0,2068,2132,100,100,66.666672,100,100,66.666672,0.953222,0.971018,1.087739,1.089873,0.946781,0.955278,1.000465,0.999887,0.999446,0.999601,1.000462,1.000139,16,-0.713953,27.328162,0,0,0,0,0,21,0,0,0,0,0,0,0,18,0,0,3,3,3,3,3,3,2,2,0.000455,0.00045,0.000634,0.000636,0.00045,0.00045,0.001442,0,0.000484,0.000485,0.000688,0.000688,0.000484,0.000484,0.001535,0,55,0.000013
7/9/2019 10:23,50,2,3,2,2,3,2,0,0,31.2,35.2,31.2,34.2,31.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,16.73,13.39,16.08,12.38,9.96,14.18,12.11,16.74,18.63,18.31,18.46,17.13,8.3,11.83,0,8.65,376.259125,23.272953,50.23404,3.649981,2375.478271,0,0,376.486786,376.43924,376.412537,376.472412,376.523102,375.220459,375.763733,375.749146,21.547756,21.805605,24.00153,24.122667,21.541348,19.720917,24.900873,24.878593,74,2867,7728,3,0,0,0,0,4,0,4,2065,264261,66.666672,100,66.666672,66.666672,100,66.666672,0.968943,0.982817,1.103637,1.110445,0.968599,0.872461,1.000726,1.000575,1.000489,1.00068,1.000842,0.996689,16,-0.712658,27.324067,4,41,0,29,5,0,0,0,15,28,0,5,5,0,0,0,3,3,3,3,3,3,3,3,0.00045,0.00045,0.000634,0.000634,0.00045,0.00045,0,0,0.000484,0.000485,0.000688,0.000688,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,2,2,2,2,3,3,0,0,31.2,35.2,31.2,34.2,33.2,35.2,31.2,36.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,15.41,16.05,12.39,15.88,8.7,17.32,14.72,15.34,16.55,17.15,16.63,14.61,0,9.06,9.08,10.36,376.095062,22.982201,50.221892,3.623024,2345.801025,0,0,373.997559,376.604279,376.350281,376.441925,376.685577,376.490723,375.763733,375.749146,17.503626,21.75808,23.984035,24.095724,21.647886,21.620586,24.900873,24.878593,74,2868,7728,3,0,0,0,1,4,0,0,2253,2117,66.666672,66.666672,66.666672,66.666672,100,100,0.773769,0.999435,1.124681,1.131104,0.993368,0.991867,0.993315,1.001625,1.000814,1.001107,1.001885,1.001263,16,-0.711601,27.324067,0,17,0,0,48,0,0,0,0,36,0,0,49,0,0,0,3,3,3,3,3,3,3,3,0.00045,0.00045,0.000634,0.000633,0.00045,0.000453,0,0,0.000484,0.000485,0.000688,0.000688,0.000484,0.000484,0,0,55,0.000013
