19,19
20,8
30,16
43,35
40,55
42,58
44,60
38,48
15,44
17,21
14,6
15,10
26,23
40,41
56,51
71,58
66,61
42,43
20,37
3,31
9,22
21,23
32,24
56,23
63,32
62,44
51,50
23,40
7,38
-1,32
12,28
27,31
33,37
38,39
32,40
29,36
20,26
15,24
13,36
19,34
27,24
38,25
36,24
25,29
31,44
34,49
32,45
39,40
41,36
27,40
33,27
50,21
52,24
45,35
43,41
41,50
43,62
35,50
26,38
28,29
30,38
23,36
26,29
38,34
33,37
37,45
29,50
26,52
24,52
31,36
31,38
25,31
32,21
32,20
47,29
54,24
44,34
37,44
19,43
19,48
33,29
33,3
34,-8
31,-25
31,-21
38,18
38,66
36,131
30,177
24,173
13,100
19,-22
16,-144
24,-226
20,-217
26,-97
23,102
29,299
38,417
52,380
48,179
19,-122
-13,-427
-38,-581
-46,-502
-18,-190
36,254
110,656
165,860
182,743
138,318
26,-268
-120,-792
-228,-1031
-262,-860
-179,-309
21,426
260,1072
452,1341
497,1085
358,384
51,-495
-320,-1209
-583,-1469
-645,-1127
-438,-307
15,687
522,1473
912,1707
988,1258
670,317
55,-770
-638,-1548
-1140,-1724
-1222,-1196
-797,-172
-5,938
871,1702
1501,1832
1580,1229
1009,145
17,-961
-1030,-1663
-1718,-1704
-1744,-1048
-1042,26
129,1080
1332,1719
2086,1685
2052,990
1182,-49
-174,-1023
-1456,-1557
-2194,-1461
-2075,-778
-1082,175
362,1009
1707,1450
2448,1327
2237,693
1106,-132
-443,-835
-1763,-1163
-2392,-1029
-2068,-495
-876,194
652,745
1921,1001
2462,872
2024,445
779,-93
-713,-525
-1860,-723
-2264,-615
-1747,-308
-532,78
846,385
1854,535
2135,489
1556,315
410,69
-815,-140
-1630,-278
-1765,-305
-1200,-249
-205,-133
818,6
1472,146
1524,252
992,315
149,305
-660,203
-1133,38
-1124,-141
-685,-293
-31,-347
546,-277
867,-94
833,156
520,369
73,488
-315,422
-518,206
-502,-103
-302,-377
-56,-509
148,-450
253,-196
265,152
222,454
159,603
91,522
30,242
-38,-117
-134,-427
-226,-556
-256,-458
-185,-169
-33,188
182,485
382,596
491,492
419,207
190,-145
-132,-418
-424,-498
-572,-369
-485,-95
-188,221
214,448
567,506
727,381
600,126
237,-162
-211,-346
-567,-394
-706,-271
-545,-36
-150,199
319,342
662,359
748,242
550,52
140,-137
-290,-244
-589,-241
-640,-147
-423,11
-30,144
373,227
618,229
611,157
375,47
14,-49
-323,-108
-506,-107
-472,-64
-244,-6
71,62
324,98
443,96
389,81
193,65
-49,25
-249,-8
-300,-30
-215,-43
-51,-32
124,-18
228,14
225,47
148,86
17,105
-70,101
-109,59
-88,14
-13,-30
59,-74
95,-62
78,-25
18,30
-35,86
-50,113
-7,104
51,67
107,10
136,-52
108,-81
29,-59
-68,0
-125,62
-118,116
-41,139
84,123
197,69
247,5
211,-46
96,-62
-55,-41
-177,12
-222,76
-150,113
-5,103
132,69
243,24
276,-27
196,-45
39,-35
-121,2
-206,51
-207,76
-111,77
43,69
180,28
252,-7
235,-24
129,-16
-7,9
-124,36
-185,64
-159,75
-60,67
67,41
177,8
206,-12
177,-22
92,-1
-16,40
-95,70
-119,70
-82,59
-6,30
74,3
120,-23
118,-27
85,-6
22,23
-39,45
-54,66
-34,66
-13,40
23,-2
43,-29
65,-19
53,0
25,29
16,52
11,71
16,71
32,48
31,17
30,-8
12,-9
-10,-7
-17,11
-2,31
30,49
65,63
80,42
79,24
56,11
15,5
-29,15
-51,16
-30,37
-3,46
39,42
84,29
114,12
100,10
44,10
-18,14
-53,12
-69,36
-45,36
17,39
71,31
110,30
113,20
78,33
27,29
-26,38
-56,45
-50,45
-12,36
44,25
96,21
130,21
120,28
67,34
6,47
-35,65
-41,65
-25,51
15,22
64,17
91,15
104,6
72,18
27,36
-2,47
-21,54
-27,49
-5,31
31,15
70,9
71,-6
61,3
42,29
10,38
-11,48
-15,54
0,39
28,19
43,6
51,1
45,2
38,18
16,39
8,55
8,59
27,46
37,30
49,17
43,-3
40,-6
24,10
1,21
-8,34
9,49
14,42
32,25
45,11
35,13
26,13
11,2
-9,0
-10,22
-3,38
22,28
47,14
56,6
47,13
39,8
15,11
-14,23
-25,34
-13,30
7,23
39,22
63,28
70,18
55,14
43,17
12,26
-13,36
-21,50
-8,45
30,32
53,21
68,20
76,23
56,27
27,27
6,38
-15,34
-12,29
8,25
31,18
59,23
62,19
53,21
31,34
24,40
13,44
0,38
4,29
24,21
45,18
58,32
60,43
45,39
40,44
41,48
26,50
18,42
22,30
25,18
38,8
41,10
47,25
42,33
29,36
33,36
20,33
7,35
3,34
11,27
18,13
30,18
31,27
31,24
34,29
33,30
33,36
29,26
26,21
16,22
22,17
28,19
30,29
26,30
